Gender,Age,Income,Education,Location,Credit_Score,Loan_Status
Female,64,71287,Master,Urban,386,1
Male,61,59437,High School,Rural,361,0
Male,59,106537,Master,Suburban,686,0
Male,54,76675,Bachelor,Urban,445,1
Female,49,36692,Master,Rural,452,0
Male,22,50862,Master,Urban,648,1
Male,29,41669,Bachelor,Suburban,477,1
Male,58,83772,High School,Rural,786,0
Female,53,72409,Master,Suburban,546,0
Male,64,40878,Bachelor,Urban,553,0
Female,58,47689,High School,Urban,799,0
Female,25,31154,High School,Urban,840,0
Male,51,71235,Master,Urban,651,1
Female,27,66330,High School,Urban,811,0
Male,40,30336,Bachelor,Rural,312,0
Female,53,53313,Bachelor,Urban,450,0
Female,30,66900,Master,Rural,349,0
Male,33,75536,PhD,Urban,514,1
Male,32,99504,PhD,Rural,671,1
Female,37,69156,High School,Rural,412,0
Male,22,46279,Master,Rural,551,1
Male,42,98665,High School,Suburban,640,0
Male,51,101386,Bachelor,Urban,352,1
Female,34,74530,Bachelor,Urban,429,1
Female,55,88199,High School,Urban,492,0
Male,25,104055,PhD,Urban,356,1
Male,49,107273,High School,Rural,396,1
Male,59,96670,Bachelor,Urban,497,0
Female,52,23326,Master,Rural,446,0
Male,48,84028,Master,Urban,594,1
Female,26,80289,High School,Suburban,311,0
Male,46,48108,Bachelor,Suburban,632,0
Female,24,24763,Master,Urban,519,0
Male,54,112806,Bachelor,Urban,697,0
Male,25,106533,Bachelor,Suburban,641,1
Male,46,86830,High School,Suburban,811,0
Female,41,31211,Bachelor,Urban,471,0
Female,55,33569,Master,Urban,767,1
Male,47,96406,Bachelor,Suburban,465,0
Female,26,65337,Bachelor,Rural,469,0
Female,56,72311,Bachelor,Urban,811,1
Female,49,33515,Bachelor,Rural,488,0
Male,50,63885,High School,Suburban,419,1
Male,30,74369,High School,Suburban,404,1
Male,59,60676,Bachelor,Rural,340,1
Female,27,88580,Bachelor,Rural,620,0
Female,40,25636,Bachelor,Urban,634,1
Female,32,22892,Bachelor,Suburban,459,0
Male,23,109414,Bachelor,Urban,563,1
Male,30,102307,High School,Suburban,829,1
Female,42,20654,PhD,Urban,776,0
Female,45,74633,Bachelor,Suburban,651,1
Female,55,37143,High School,Urban,844,0
Female,43,75934,High School,Rural,509,1
Female,24,87334,PhD,Urban,795,1
Male,33,83664,High School,Rural,681,0
Male,49,97384,Master,Suburban,780,1
Female,51,28446,High School,Rural,304,0
Female,47,68867,PhD,Rural,333,1
Male,42,64485,Master,Urban,444,1
Male,49,49456,Bachelor,Suburban,650,0
Female,47,47200,High School,Rural,764,0
Male,54,65554,High School,Rural,647,1
Male,42,76922,Bachelor,Suburban,424,0
Male,56,43409,Bachelor,Rural,570,1
Female,55,62470,High School,Urban,656,1
Female,62,71660,High School,Rural,826,0
Male,39,93627,Bachelor,Rural,797,1
Female,32,55450,Bachelor,Suburban,452,1
Male,44,49692,High School,Suburban,352,0
Male,43,119037,High School,Urban,448,1
Female,38,51390,PhD,Urban,802,1
Female,26,76116,Bachelor,Urban,749,1
Female,32,33161,Master,Urban,518,1
Female,51,52152,Bachelor,Rural,576,0
Female,36,40836,High School,Suburban,751,0
Male,48,59963,Bachelor,Urban,727,0
Male,56,82265,Bachelor,Urban,382,1
Male,54,46061,Master,Suburban,517,0
Male,41,88226,Bachelor,Suburban,826,0
Female,37,89444,High School,Rural,703,1
Male,55,90006,PhD,Suburban,589,1
Female,23,31957,Bachelor,Rural,719,1
Female,56,24379,PhD,Urban,638,0
Female,61,47959,PhD,Urban,718,1
Male,49,87767,High School,Urban,506,1
Female,60,20877,Bachelor,Urban,564,1
Male,27,105319,Bachelor,Suburban,335,0
Male,30,75397,Bachelor,Suburban,672,1
Female,41,77913,Bachelor,Urban,787,0
Male,22,55068,PhD,Urban,558,0
Male,29,95727,Master,Urban,830,1
Female,44,48742,High School,Rural,322,0
Male,24,55832,High School,Suburban,403,1
Female,25,66762,Bachelor,Urban,540,0
Female,46,38830,High School,Urban,552,0
Female,59,75044,Master,Rural,441,1
Male,36,88160,Bachelor,Rural,750,1
Male,42,53666,Bachelor,Urban,606,1
Female,56,46627,High School,Rural,799,0
Male,35,64642,Master,Rural,307,1
Female,57,89521,High School,Urban,368,0
Female,33,49475,Master,Urban,367,1
Female,38,39403,Bachelor,Urban,707,1
Male,60,39221,Master,Suburban,817,0
Male,30,41410,Bachelor,Suburban,418,1
Female,56,25629,High School,Suburban,330,0
Male,34,91413,Master,Rural,817,1
Male,36,31051,High School,Rural,782,1
Female,39,76574,Bachelor,Rural,506,0
Female,54,47675,High School,Suburban,686,0
Female,27,60563,Master,Urban,711,0
Female,48,31332,PhD,Rural,669,1
Male,44,74757,Bachelor,Rural,652,1
Female,48,88447,Bachelor,Rural,635,0
Female,55,77104,Master,Urban,588,1
Male,59,30307,High School,Rural,439,0
Male,35,86889,PhD,Suburban,599,1
Female,57,41673,High School,Urban,312,0
Female,29,60870,PhD,Suburban,727,1
Female,56,42821,Master,Urban,699,0
Female,40,45494,Master,Suburban,408,0
Male,51,101762,Bachelor,Rural,784,1
Male,35,117225,Bachelor,Rural,655,0
Female,41,57335,Bachelor,Urban,448,0
Female,46,89351,High School,Urban,606,0
Female,61,22429,Bachelor,Rural,832,0
Female,45,61950,Bachelor,Urban,359,0
Male,35,100427,Master,Rural,734,1
Male,47,34992,Bachelor,Urban,320,1
Female,59,51099,High School,Suburban,681,1
Female,44,59385,Bachelor,Suburban,544,1
Female,43,55919,Bachelor,Urban,372,1
Female,40,80782,High School,Rural,748,1
Female,24,60387,High School,Suburban,375,1
Male,63,43255,Master,Rural,689,1
Male,40,34567,Bachelor,Urban,641,0
Male,30,78847,Bachelor,Rural,589,1
Female,49,23491,Bachelor,Urban,630,1
Male,41,50389,Master,Urban,558,1
Male,28,74523,High School,Urban,725,1
Male,35,91576,Master,Rural,305,1
Male,30,73919,High School,Urban,305,1
Female,40,78097,Master,Suburban,490,0
Male,35,33358,Bachelor,Urban,447,0
Male,59,118535,Bachelor,Urban,704,1
Female,57,37718,Bachelor,Urban,557,0
Male,61,35698,Bachelor,Urban,778,0
Male,38,96809,High School,Rural,389,1
Male,51,85805,Master,Urban,309,1
Female,30,60633,High School,Urban,386,1
Male,54,106777,PhD,Urban,450,1
Female,46,64980,Master,Urban,329,0
Male,35,105033,Bachelor,Urban,427,1
Male,32,74041,Master,Suburban,377,0
Male,56,61954,Bachelor,Rural,720,1
Male,62,38002,High School,Rural,354,0
Female,35,67631,PhD,Rural,779,1
Female,51,69316,Bachelor,Rural,604,1
Female,62,79342,Bachelor,Suburban,845,0
Male,25,40703,Bachelor,Urban,404,1
Male,25,79422,Bachelor,Urban,471,1
Female,49,46660,PhD,Urban,798,0
Male,29,91899,High School,Urban,321,1
Male,23,42392,Bachelor,Urban,586,0
Male,62,74724,Bachelor,Rural,690,1
Male,43,62299,Bachelor,Urban,448,1
Female,62,75501,Bachelor,Suburban,571,0
Female,37,73309,High School,Urban,598,1
Female,50,47043,High School,Urban,471,0
Male,51,48782,High School,Suburban,346,0
Male,33,108257,PhD,Suburban,506,1
Male,56,107963,High School,Urban,752,0
Male,32,50566,Master,Rural,694,1
Male,42,97766,Master,Suburban,600,1
Female,42,59236,Master,Urban,475,0
Female,26,24150,Master,Urban,409,1
Male,41,34765,High School,Suburban,501,0
Female,58,24137,High School,Rural,467,0
Female,24,49992,Bachelor,Urban,385,0
Female,54,64921,High School,Rural,350,0
Female,30,86917,Master,Urban,411,1
Male,30,101088,Bachelor,Suburban,762,0
Male,25,96163,Master,Urban,741,1
Male,56,107525,High School,Suburban,570,1
Female,38,83879,PhD,Rural,643,1
Male,55,36589,High School,Urban,482,0
Male,45,64812,Bachelor,Urban,802,1
Male,53,75939,Bachelor,Rural,309,1
Male,22,81493,Master,Suburban,793,1
Female,29,65124,Bachelor,Urban,533,1
Female,44,55897,PhD,Urban,597,0
Male,61,49309,PhD,Rural,543,0
Male,33,84195,Master,Suburban,808,1
Male,33,55901,High School,Urban,650,1
Male,36,53576,Master,Rural,566,1
Male,62,61508,Master,Rural,500,1
Male,40,104711,High School,Urban,538,1
Male,47,55464,High School,Urban,633,0
Female,50,50270,High School,Urban,714,0
Female,43,30386,High School,Suburban,783,0
Male,61,65440,Bachelor,Rural,736,1
Male,42,86683,PhD,Rural,545,1
Female,59,57879,Bachelor,Urban,307,0
Male,41,31987,Bachelor,Urban,451,1
Female,50,59132,PhD,Suburban,691,1
Female,25,23626,High School,Urban,510,0
Male,28,43026,Master,Rural,666,0
Male,49,98309,Bachelor,Rural,385,0
Female,49,74144,Bachelor,Urban,354,0
Male,25,105414,Bachelor,Urban,745,1
Female,43,24025,Bachelor,Urban,603,0
Female,33,63226,High School,Urban,431,0
Female,24,89711,Master,Suburban,720,1
Male,43,40377,High School,Urban,684,1
Female,23,41395,Master,Urban,497,0
Male,45,37347,Bachelor,Suburban,346,1
Male,55,63776,High School,Urban,502,1
Female,48,61115,Bachelor,Rural,560,0
Male,62,85798,High School,Urban,323,1
Female,22,21407,Master,Urban,639,1
Female,29,78560,PhD,Urban,711,1
Male,44,116207,Master,Urban,560,0
Male,59,85161,High School,Suburban,585,1
Male,27,90652,Bachelor,Rural,812,1
Male,43,64484,Bachelor,Urban,385,1
Male,46,50922,Master,Urban,729,1
Female,39,34390,High School,Urban,330,0
Male,38,50316,Bachelor,Urban,739,1
Male,33,106996,Bachelor,Urban,648,1
Female,27,42486,High School,Rural,711,1
Male,47,60266,Bachelor,Suburban,827,1
Female,48,77716,Bachelor,Urban,609,0
Male,29,44011,Master,Rural,695,1
Male,40,32866,PhD,Suburban,637,0
Female,63,42738,Bachelor,Urban,736,1
Female,22,61662,Bachelor,Suburban,664,0
Female,50,35123,High School,Suburban,412,0
Female,56,45616,PhD,Urban,475,0
Female,61,31182,PhD,Suburban,448,0
Male,35,40956,PhD,Urban,477,0
Male,56,80042,Master,Urban,681,1
Female,41,66098,Bachelor,Suburban,522,0
Female,34,46128,Master,Urban,558,1
Female,59,51556,Bachelor,Urban,488,0
Male,29,99497,Bachelor,Urban,605,1
Male,64,71574,Master,Suburban,677,1
Female,41,71962,High School,Suburban,642,1
Male,54,118020,High School,Rural,455,1
Female,47,32716,Bachelor,Suburban,354,0
Female,60,72611,Bachelor,Urban,741,0
Male,42,69454,Master,Urban,499,1
Female,63,73144,High School,Rural,702,0
Female,64,85220,High School,Suburban,476,0
Male,62,116567,High School,Urban,748,1
Female,30,69355,High School,Urban,840,1
Male,45,48816,High School,Suburban,600,1
Female,58,39159,Bachelor,Suburban,606,0
Male,62,59432,Bachelor,Rural,566,1
Female,38,79305,Master,Urban,513,1
Male,45,102373,PhD,Suburban,782,1
Male,42,64217,Bachelor,Suburban,561,1
Female,60,28720,High School,Rural,366,0
Male,62,35454,High School,Suburban,432,1
Male,60,104960,Master,Suburban,839,1
Female,34,39790,Bachelor,Suburban,811,0
Female,32,78655,Master,Suburban,510,1
Female,40,79643,Master,Rural,552,1
Female,32,67374,PhD,Rural,337,1
Male,34,69613,PhD,Urban,342,1
Male,22,115678,Bachelor,Rural,704,1
Male,61,89993,Bachelor,Suburban,345,1
Female,40,69570,PhD,Suburban,753,1
Female,33,70901,Bachelor,Urban,604,0
Female,29,80186,High School,Rural,532,0
Female,29,70251,Bachelor,Urban,544,1
Male,33,91602,Bachelor,Rural,594,1
Male,54,102045,Master,Rural,682,0
Male,47,72222,Bachelor,Urban,457,1
Male,60,79223,Bachelor,Rural,704,0
Male,49,95333,PhD,Urban,300,1
Female,26,82559,Master,Urban,516,1
Male,29,79420,Bachelor,Suburban,806,1
Male,46,105504,High School,Urban,329,1
Male,48,32462,Bachelor,Urban,819,1
Female,44,62863,Bachelor,Urban,574,1
Female,51,85439,High School,Urban,791,1
Male,44,43269,High School,Suburban,335,0
Male,41,95942,Master,Urban,610,1
Female,39,49777,Bachelor,Suburban,343,0
Male,39,52553,Bachelor,Urban,454,1
Female,23,47445,High School,Urban,376,0
Female,25,87038,Bachelor,Urban,737,0
Male,51,47369,Master,Rural,731,0
Male,54,41795,High School,Rural,841,0
Female,57,70577,High School,Suburban,338,0
Male,39,98154,Bachelor,Rural,538,1
Male,58,60143,PhD,Urban,312,1
Female,40,34266,Bachelor,Suburban,421,0
Female,49,59422,High School,Suburban,443,0
Female,61,55208,Bachelor,Urban,754,0
Female,41,51213,Master,Urban,667,1
Male,54,34621,High School,Rural,546,0
Male,33,88829,Bachelor,Urban,344,1
Female,36,71588,Bachelor,Suburban,674,1
Female,62,58285,High School,Urban,590,0
Male,60,59227,Master,Urban,506,1
Female,23,39867,Master,Suburban,818,0
Male,50,42306,Bachelor,Suburban,541,0
Male,62,83822,High School,Urban,413,0
Male,31,54042,High School,Suburban,601,0
Male,23,45086,Bachelor,Urban,575,0
Male,32,47387,Bachelor,Urban,395,1
Male,34,57042,High School,Suburban,593,0
Male,31,119424,High School,Rural,659,1
Female,35,25470,High School,Urban,587,1
Female,39,34953,PhD,Urban,453,1
Female,30,58507,Master,Rural,722,0
Female,60,26523,PhD,Urban,349,1
Male,49,70863,High School,Rural,506,1
Male,24,40283,PhD,Rural,512,1
Female,41,51169,High School,Urban,365,0
Male,27,76999,Bachelor,Rural,531,0
Female,48,42990,Master,Suburban,619,0
Male,23,52908,Bachelor,Urban,436,1
Female,50,33419,Bachelor,Urban,364,0
Male,59,80225,High School,Urban,813,0
Female,24,87600,High School,Rural,431,0
Male,37,67663,Bachelor,Suburban,633,1
Female,51,70654,Bachelor,Urban,331,1
Male,61,77929,Master,Urban,797,1
Female,23,22042,Bachelor,Urban,542,0
Female,38,62982,Bachelor,Rural,491,1
Male,62,69791,High School,Urban,441,1
Female,33,53477,High School,Suburban,490,1
Female,56,72709,PhD,Urban,448,1
Male,64,99443,High School,Rural,715,0
Female,22,56018,Bachelor,Rural,819,1
Female,36,28061,High School,Rural,315,0
Female,47,28609,Master,Urban,405,0
Male,58,92653,Master,Rural,582,1
Male,42,43699,High School,Urban,403,0
Female,52,27857,High School,Urban,660,0
Female,46,31620,Bachelor,Rural,334,0
Male,44,58807,Bachelor,Rural,412,1
Female,45,50111,High School,Urban,607,1
Male,59,99390,Master,Urban,352,1
Male,49,75226,High School,Suburban,380,0
Male,42,89550,Master,Suburban,668,1
Male,64,110072,Bachelor,Urban,541,0
Female,39,48481,High School,Rural,330,0
Male,57,105308,Bachelor,Urban,660,1
Female,56,26743,Bachelor,Rural,532,0
Female,30,74800,High School,Suburban,333,0
Female,59,68773,Bachelor,Urban,542,0
Male,51,66343,High School,Suburban,358,1
Male,55,88219,High School,Urban,828,1
Female,53,48552,High School,Rural,377,0
Female,24,85242,Bachelor,Rural,601,1
Male,24,63769,High School,Suburban,411,1
Female,49,63730,Bachelor,Urban,712,1
Female,36,48948,Bachelor,Urban,616,0
Female,62,89093,Bachelor,Urban,444,1
Female,44,89123,Master,Suburban,317,1
Female,61,36535,Master,Rural,650,0
Male,32,68084,Bachelor,Rural,454,1
Female,53,66562,Bachelor,Urban,805,0
Female,57,78535,High School,Suburban,659,0
Male,54,118635,Master,Suburban,631,1
Male,45,67034,High School,Rural,827,0
Male,60,70317,Bachelor,Urban,311,1
Female,55,43147,Master,Urban,374,0
Female,49,65528,High School,Rural,511,0
Male,58,87796,High School,Rural,582,0
Female,28,86381,Bachelor,Urban,494,1
Male,25,87221,Bachelor,Rural,329,1
Female,58,58672,Master,Urban,308,1
Female,22,33731,Master,Suburban,608,0
Female,22,74512,High School,Rural,744,0
Male,41,33164,High School,Urban,609,0
Male,40,113973,Bachelor,Rural,725,1
Male,50,71247,Bachelor,Urban,390,0
Male,31,49601,Bachelor,Urban,755,1
Female,39,61025,High School,Suburban,743,0
Female,49,33107,Bachelor,Urban,378,0
Female,56,63481,Bachelor,Urban,774,1
Female,64,22581,Bachelor,Urban,402,0
Female,52,71638,Bachelor,Urban,755,1
Female,48,28418,Bachelor,Urban,613,0
Female,32,49113,Bachelor,Urban,546,0
Female,59,83044,High School,Rural,533,0
Male,26,33722,High School,Urban,534,0
Male,29,100442,Bachelor,Rural,686,1
Male,55,70031,Bachelor,Urban,337,1
Female,33,83288,Bachelor,Urban,460,0
Female,59,77836,Bachelor,Urban,761,1
Male,22,88819,Bachelor,Suburban,748,1
Female,52,87084,Master,Rural,416,1
Female,25,23407,High School,Suburban,540,0
Male,26,71938,High School,Urban,325,1
Male,51,79028,High School,Suburban,597,0
Female,45,57122,Bachelor,Urban,453,0
Male,24,79877,Bachelor,Urban,767,1
Female,32,46505,High School,Rural,348,0
Male,25,70469,Bachelor,Urban,345,1
Female,47,74387,High School,Suburban,584,1
Female,48,63169,Bachelor,Urban,381,0
Female,64,71742,Bachelor,Suburban,343,0
Female,48,60522,Master,Rural,572,0
Male,63,114726,High School,Rural,693,0
Male,27,57386,Master,Urban,357,1
Male,36,61721,Master,Urban,300,0
Female,51,63539,High School,Suburban,515,0
Female,63,88321,High School,Urban,616,0
Female,58,34799,Bachelor,Rural,527,0
Male,58,32123,Master,Suburban,772,1
Male,63,92993,Master,Urban,783,1
Male,58,110122,Bachelor,Rural,586,0
Male,56,55416,Master,Rural,810,1
Female,44,60828,High School,Urban,757,1
Male,27,108537,High School,Urban,394,1
Male,25,80258,PhD,Urban,792,1
Female,39,73997,Master,Urban,449,0
Male,30,115166,Bachelor,Rural,322,1
Male,50,108916,Master,Urban,514,1
Female,34,34549,PhD,Suburban,698,1
Male,38,76335,Master,Urban,709,1
Female,53,40316,Master,Rural,430,0
Female,43,46183,Master,Rural,447,0
Female,25,44624,High School,Urban,680,1
Male,26,65739,Master,Urban,408,1
Female,58,66705,High School,Suburban,420,1
Male,62,61980,Master,Suburban,594,1
Male,34,119335,Bachelor,Urban,419,0
Male,55,115016,Bachelor,Urban,755,1
Female,43,29589,Bachelor,Urban,829,0
Male,44,96253,High School,Urban,468,1
Male,24,115481,High School,Rural,442,0
Female,63,50286,PhD,Suburban,336,1
Male,55,60009,PhD,Urban,560,1
Male,53,36782,Bachelor,Suburban,530,0
Male,42,55933,PhD,Urban,553,1
Male,42,107154,Master,Rural,628,1
Male,32,38307,Bachelor,Urban,596,0
Male,60,105874,High School,Urban,309,0
Female,25,47304,PhD,Urban,745,1
Male,22,80772,Bachelor,Urban,529,1
Male,49,102084,Master,Rural,835,1
Female,45,56701,Master,Rural,377,0
Male,56,116700,Master,Urban,724,1
Female,34,77241,Bachelor,Suburban,492,0
Male,55,115712,High School,Urban,700,1
Male,32,98477,Bachelor,Rural,408,1
Male,57,35695,Bachelor,Urban,562,0
Male,38,69169,High School,Urban,628,0
Male,56,77947,Bachelor,Urban,662,1
Male,39,77224,Bachelor,Rural,677,0
Male,61,75865,Master,Rural,640,1
Male,43,55553,High School,Urban,558,1
Male,45,90410,Bachelor,Urban,634,0
Male,40,54816,High School,Urban,384,1
Male,58,85026,High School,Rural,821,0
Male,60,80705,High School,Rural,607,0
Female,42,77692,Master,Urban,561,1
Male,29,103914,High School,Urban,751,1
Female,49,53785,Master,Suburban,550,1
Female,26,67997,High School,Urban,623,1
Male,38,77365,Master,Urban,528,1
Female,58,33303,Master,Urban,596,0
Female,57,55187,PhD,Urban,536,1
Male,40,55006,Master,Rural,516,1
Male,48,71198,PhD,Rural,545,0
Female,55,33753,Master,Urban,747,0
Female,32,58090,Bachelor,Rural,618,0
Male,33,62443,High School,Urban,731,0
Male,42,72316,High School,Suburban,703,1
Male,32,94486,High School,Rural,336,1
Male,60,35877,Bachelor,Rural,641,0
Female,49,88653,Bachelor,Urban,688,1
Male,26,34922,Master,Urban,333,0
Male,38,34686,PhD,Urban,338,0
Female,41,24042,Bachelor,Rural,508,0
Male,62,109943,Bachelor,Urban,451,0
Male,33,62006,PhD,Suburban,664,1
Female,27,34016,High School,Suburban,498,0
Female,38,45022,Master,Rural,378,1
Male,40,116590,High School,Suburban,776,0
Male,47,53527,Bachelor,Urban,733,1
Male,53,48443,High School,Urban,331,0
Male,27,46524,Master,Urban,386,1
Male,57,58202,Bachelor,Rural,692,1
Male,59,95552,High School,Urban,543,1
Male,32,76142,High School,Suburban,531,0
Male,54,91692,Bachelor,Urban,491,1
Male,45,112384,PhD,Urban,839,1
Male,44,50855,Master,Suburban,569,1
Male,36,113747,Bachelor,Urban,376,1
Male,48,90372,Bachelor,Urban,466,0
Male,32,55095,Bachelor,Rural,583,1
Female,38,51819,Master,Urban,388,1
Female,35,67779,Master,Urban,843,1
Female,48,85584,Bachelor,Urban,455,0
Female,39,39950,Master,Urban,549,1
Male,49,45972,Bachelor,Suburban,394,1
Male,25,52927,PhD,Suburban,316,0
Male,28,96630,PhD,Urban,416,1
Female,56,34292,Master,Urban,632,0
Female,30,23052,Master,Urban,821,1
Male,29,116210,High School,Suburban,379,1
Male,38,99518,Master,Urban,731,1
Male,38,75283,Bachelor,Urban,502,1
Male,54,111326,High School,Rural,415,0
Female,53,50461,Bachelor,Suburban,519,1
Female,29,40750,Master,Urban,552,0
Male,40,42748,High School,Urban,468,1
Female,59,89263,Bachelor,Urban,615,1
Female,24,77602,Bachelor,Urban,671,1
Male,26,83311,High School,Rural,455,1
Male,34,52692,High School,Rural,312,0
Male,52,53862,Master,Rural,807,1
Male,37,109507,Master,Urban,764,1
Male,53,110152,High School,Urban,519,0
Male,43,100469,Master,Urban,314,0
Male,50,34926,Master,Urban,416,0
Male,43,33969,Bachelor,Suburban,630,0
Female,64,23749,Master,Urban,355,1
Male,24,99855,PhD,Urban,650,1
Male,31,71743,Bachelor,Urban,431,0
Male,63,69876,High School,Urban,525,0
Female,42,31437,PhD,Urban,607,0
Male,37,46428,Bachelor,Suburban,774,1
Male,33,64578,High School,Urban,521,0
Female,23,24551,Bachelor,Rural,472,0
Female,62,88359,Bachelor,Urban,639,1
